Artist,song_album,Title,song_release_date
Billy Currington,Enjoy Yourself,Let Me Down Easy,2010-01-01
Blake Shelton,Based on a True Story... (Deluxe Edition),Doin' What She Likes,2013-03-26
Billy Currington,Best Of,I Got A Feelin',2011-01-01
Blake Shelton,Red River Blue (Deluxe Edition),Honey Bee,2011-07-11
Josh Turner,Haywire,Why Don't We Just Dance,2010
David Nail,Whatever She's Got,Whatever She's Got,2013-01-01
Brett Eldredge,Bring You Back,Beat of the Music,2013-08-06
Billy Currington,We Are Tonight,Hey Girl,2013-01-01
Scotty McCreery,See You Tonight,See You Tonight,2013-01-01
Chris Young,Neon,You,2011-07-11
Brett Eldredge,Bring You Back,Don't Ya,2013-08-06
Joe Nichols,It's All Good,I Can't Take My Eyes Off You,2011-01-01
Frankie Ballard,Sunshine & Whiskey,Sunshine & Whiskey,2014-04-03
Blake Shelton,Based on a True Story... (Deluxe Edition),Mine Would Be You,2013-03-26
Shania Twain,Come On Over,You're Still The One,1997
Brett Eldredge,Bring You Back,Mean to Me,2013-08-06
Josh Turner,Your Man,Your Man,2006
Casey James,Casey James,Love The Way You Miss Me,2012-03-19
Kenny Chesney,When The Sun Goes Down (Deluxe Version),The Woman with You,2004-02-02
Blake Shelton,Based on a True Story...,My Eyes (feat. Gwen Sebastian),2013-03-26
Tim McGraw,Two Lanes Of Freedom,Highway Don't Care,2013-01-01
Craig Morgan,The Journey (Livin' Hits),Wake Up Lovin' You,2013-09-03
Blake Shelton,Sure Be Cool If You Did,Sure Be Cool If You Did,2013-01-08
Billy Currington,Best Of,Good Directions,2011-01-01
Charlie Worsham,Rubberband,Could It Be,2013-08-16
Brad Paisley,Moonshine in the Trunk,Perfect Storm,2014-08-25
Billy Currington,Best Of,Must Be Doin' Somethin' Right,2011-01-01
Tim McGraw,Sundown Heaven Town,Shotgun Rider,2014-01-01
George Strait,Best Of (Deluxe Edition),The Chair,2011-01-01
Christina Aguilera,Lotus (Deluxe Version),Just A Fool,2012-11-09
Martina McBride,Hits And More,"Valentine (with special guest artist, Jim Brickman) (with Jim Brickman)",2012
Martina McBride,Hits And More,A Broken Wing,2012
